Host full name,Gelechiidae species name,Rank,COL status,COL taxon page,GBIF taxonKey
Baccharis,Aristotelia   ; Gnorimoschema baccharisella  Busck,genus,accepted,"https://www.catalogueoflife.org/data/taxon/372Q",3129135
Baccharis halimifolia,Aristotelia ivae  Busck; Aristotelia sp.  ; Dichomeris serrativittella  Zeller; Gnorimoschema sp.,species,accepted,"https://www.catalogueoflife.org/data/taxon/K79D",3129663
Baccharis macrantha,,species,accepted,"https://www.catalogueoflife.org/data/taxon/K7D4",
Baccharis nebularis,,species,accepted,"https://www.catalogueoflife.org/data/taxon/7S8ZV",
Baccharis neglecta,Aristotelia ivae  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/K7FJ",
Baccharis pilularis,Aristotelia argentifera  Busck; Coleotechnites bacchariella  Keifer; Gnorimoschema baccharisella  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/K7JG",3129497
Baccharis serrulata,Tecia mendozella  Kieffer & JÃ¶rg.,species,accepted,"https://www.catalogueoflife.org/data/taxon/K7P9",7828357
Balanites aegyptiaca,Ephysteris subdiminutella  Stainton,species,accepted,"https://www.catalogueoflife.org/data/taxon/KFPN",5421115
Ballota,Brachmia ballotella  Amsel,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VVFV",2926893
Bambusa,Dichomeris hastata  Meyrick,genus,misapplied,"https://www.catalogueoflife.org/data/taxon/8VVG3",
Bassia,Scrobipalpa traganella  ChrÃ©tien,genus,accepted,"https://www.catalogueoflife.org/data/taxon/7NDZR",
Bauhinia,Dichomeris eucomopa  Meyrick; Mesophleps palpigera  Walsingham,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CK4T",2952935
Bauhinia vahlii,Dichomeris metatoxa  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/9CPZH",
Berberis vulgaris,Pseudotelphusa tessella  Hubner,species,accepted,"https://www.catalogueoflife.org/data/taxon/LKBJ",
Bertholletia excelsa,Stegasta variana  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/LMPJ",3083180
Beta vulgaris,Scrobipalpa atriplicella  Fischer v. RÃ¶sl.; Scrobipalpa ocellatella  Boyd,species,accepted,"https://www.catalogueoflife.org/data/taxon/LNNK",8971274
Beta vulgaris maritima,Scrobipalpa ocellatella  Boyd,species,accepted,"https://www.catalogueoflife.org/data/taxon/68JX7",8372932
Betula,Anacampsis blattariella  Hubner; Anacampsis populella  Clerck; Dichomeris ligulella  Hubner; Dichomeris ustalella  Fabricius; Dichomeris ventrella  Fitch; Hypatima rhomboidella  Linnaeus; Neofaculta infernella  Herrich-SchÃ¤ffer; Pseudotelphusa betulella  Busck; Teleiodes alburnella  Zeller; Teleiodes proximella  Hubner; Teleiodes wagae  Nowicki,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VVK7",2875008
Betula alba,Anacampsis populella  Clerck,species,synonym,"https://www.catalogueoflife.org/data/taxon/LP4G",
Betula nana,Chionodes viduella  Fabricius,species,accepted,"https://www.catalogueoflife.org/data/taxon/LPBR",5332004
Betula nigra,Pseudotelphusa betulella  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/LPBV",5331532
Betula papyrifera,Anacampsis innocuella  Zeller; Dichomeris ligulella  Hubner,species,accepted,"https://www.catalogueoflife.org/data/taxon/BMH9N",5332120
Betula pendula,Chionodes viduella  Fabricius,species,accepted,"https://www.catalogueoflife.org/data/taxon/LPCQ",
Betula pubescens,Anacampsis populella  Clerck,species,accepted,"https://www.catalogueoflife.org/data/taxon/LPDF",
Bigelowia,Gnorimoschema coquillettella  Busck,genus,synonym,"https://www.catalogueoflife.org/data/taxon/8VVKW",
Bituminaria bituminosa,Iwaruna biguttella  Duponchel,species,accepted,"https://www.catalogueoflife.org/data/taxon/7NFRG",2952882
Bombax ceiba,Semophylax apicepuncta  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/MF6V",
Bosea yervamora,Chrysoesthia boseae  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/B8WNR",5548250
Brassica,Dichomeris bolize  Hodges,genus,accepted,"https://www.catalogueoflife.org/data/taxon/3CWB",3042506
Brassica oleracea capitata,Dichomeris oceanis  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/N82N",10961835
Brassica oleracea,,species,synonym,"https://www.catalogueoflife.org/data/taxon/N82N",
Breynia vitis-idaea,Empedaula insipiens  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/6932V",5382985
Bridelia micrantha,Dichomeris eurynotus  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/5WR42",3076142
