Host full name,Gelechiidae species name,Rank,COL status,COL taxon page,GBIF taxonKey
Acronychia,Dichomeris capnites  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/NG2",3190065
Adenocarpus hispanicus,Mirificarma cabezella  ChrÃ©tien,species,accepted,"https://www.catalogueoflife.org/data/taxon/9ZFT",2951633
Adenocarpus viscosus,Stomopteryx adenocarpella  Hering,species,accepted,"https://www.catalogueoflife.org/data/taxon/9ZG6",
Adenostoma fasciculatum,Aristotelia adenostomae  Keifer; Aristotelia eldorada  Keifer; Aroga eldorada  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/652F2",
Aegiceras corniculatum,Anarsia,species,accepted,"https://www.catalogueoflife.org/data/taxon/659BB",3721362
Aeschynomene americana,Agnippe evippeella  Busck; Dichomeris acuminatus  Staudinger; Evippe evippella  Forbes,species,accepted,"https://www.catalogueoflife.org/data/taxon/65BTK",2949235
Aesculus,Holophysis emblemella  Clemens,genus,accepted,"https://www.catalogueoflife.org/data/taxon/PTB",3189801
Ageratum,Dichomeris nr. aenigmatica  Clarke,genus,accepted,"https://www.catalogueoflife.org/data/taxon/QPF",3138550
Ageratum houstonianum,Anarsia bipinnata  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/65RYZ",5401760
Agrimonia,Anacampsis agrimoniella  Clemens,genus,accepted,"https://www.catalogueoflife.org/data/taxon/QXS",3001953
Agrimonia eupatoria,Anacampsis agrimoniella  Clemens,species,accepted,"https://www.catalogueoflife.org/data/taxon/B7GN",
Agrimonia gryposepala,Anacampsis agrimoniella  Clemens,species,accepted,"https://www.catalogueoflife.org/data/taxon/B7GX",3002117
Agropyron repens,Helcystogramma lutatella  Herrich-SchÃ¤ffer,species,accepted,"https://www.catalogueoflife.org/data/taxon/6F6PV",2706653
Albizia,Anarsia amegarta  Meyrick; Mesophleps palpigera  Walsingham,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CJNC",2972897
Albizia lebbeck,Bucolarcha geodes  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/BG7V",2973215
Albizia saman,Anarsia,species,accepted,"https://www.catalogueoflife.org/data/taxon/6XGBZ",2972949
Alcea,Pexicopia malvella  Hubner,genus,accepted,"https://www.catalogueoflife.org/data/taxon/RKM",5406788
Alcea rosea,Pectinophora gossypiella  Saunders; Pexicopia malvella  Hubner; Platyedra subcinerea  Haworth,species,accepted,"https://www.catalogueoflife.org/data/taxon/BH8Y",5406789
Alchornea ilicifolia,Dichomeris mesoctenis  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/5TVWQ",3055443
Alnus,Anacampsis innocuella  Zeller; Anacampsis niveopulvella  Chambers; Coleotechnites alnifructella  Busck; Hypatima rhomboidella  Linnaeus; Pseudotelphusa belangerella  Chambers,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VTM3",2876099
Alnus glutinosa,Teleiodes proximella  Hubner,species,accepted,"https://www.catalogueoflife.org/data/taxon/5FHWT",2876213
Althaea,Pexicopia malvella  Hubner,genus,accepted,"https://www.catalogueoflife.org/data/taxon/SZ9",3152518
Althaea nudiflora,Platyedra subcinerea  Haworth,species,accepted,"https://www.catalogueoflife.org/data/taxon/BH8M",3933328
Althaea officinalis,Pexicopia malvella  Hubner; Platyedra subcinerea  Haworth,species,accepted,"https://www.catalogueoflife.org/data/taxon/5TY3W",3152520
Ambrosia,Chionodes mediofuscella  Clemens; Dichomeris juncidella  Clemens; Gnorimoschema washingtoniella  Busck; Helcystogramma chambersella  Murtfeldt,genus,accepted,"https://www.catalogueoflife.org/data/taxon/TLT",3110576
Ambrosia artemisiifolia,Dichomeris juncidella  Clemens; Dichomeris washingtoniella  Busck; Helcystogramma chambersella  Murtfeldt,species,accepted,"https://www.catalogueoflife.org/data/taxon/5TZQZ",8002952
Ambrosia psilostachya,Helcystogramma chambersella  Murtfeldt,species,accepted,"https://www.catalogueoflife.org/data/taxon/CPQ6",3110686
Ambrosia tenuifolia,Helcystogramma chambersella  Murtfeldt,species,accepted,"https://www.catalogueoflife.org/data/taxon/CPQF",3110580
Ambrosia trifida,Chionodes mediofuscella  Clemens; Dichomeris juncidella  Clemens; Gnorimoschema ambrosiaeella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/CPQH",3110588
